nA,nB,Nu,NM,result
8,1,2,100,3.256072467532407
8,1,2,200,1.7628563849550665
8,1,2,500,0.9726168933529691
8,1,2,1000,0.7350398920074379
8,1,2,2000,0.6165895793794812
8,1,2,5000,0.5584101554242963
8,1,2,10000,0.5367396796537616
8,1,2,20000,0.5238584944049051
8,1,2,50000,0.5170764945490745
8,1,2,100000,0.5146898114990668
8,1,4,100,2.378431218305431
8,1,4,200,1.2685323654636735
8,1,4,500,0.7076960936620215
8,1,4,1000,0.5367121338171811
8,1,4,2000,0.4526410471818483
8,1,4,5000,0.4004784478873422
8,1,4,10000,0.38280863093493794
8,1,4,20000,0.3771988332404793
8,1,4,50000,0.3720964618898884
8,1,4,100000,0.37088701953937897
8,1,6,100,1.9617390319521226
8,1,6,200,1.04147528308207
8,1,6,500,0.57593466299024
8,1,6,1000,0.4381151345124688
8,1,6,2000,0.3685073427628723
8,1,6,5000,0.32519418627245883
8,1,6,10000,0.3111652873271885
8,1,6,20000,0.3043526625115766
8,1,6,50000,0.30089931107987516
8,1,6,100000,0.2991868158621914
8,1,8,100,1.6974868423005145
8,1,8,200,0.9112139381757266
8,1,8,500,0.4961628543448343
8,1,8,1000,0.3815549878423508
8,1,8,2000,0.32158160939568836
8,1,8,5000,0.2865935530914486
8,1,8,10000,0.2750530591309691
8,1,8,20000,0.2691102021318613
8,1,8,50000,0.26544188200151475
8,1,8,100000,0.2643270439631712
8,1,10,100,1.5610428477426865
8,1,10,200,0.8198324764428159
8,1,10,500,0.4516758427544247
8,1,10,1000,0.34020171566195473
8,1,10,2000,0.28593335144328813
8,1,10,5000,0.25578546190476675
8,1,10,10000,0.24542413905251448
8,1,10,20000,0.23980049395733455
8,1,10,50000,0.23658401535760681
8,1,10,100000,0.23574877098819025
