nA,nB,Nu,NM,result
11,1,1,500,13.824568981299887
11,1,1,1000,3.2552059300621816
11,1,1,2000,0.9701835143774903
11,1,1,5000,0.3328759854364949
11,1,1,10000,0.20971283616349715
11,1,1,20000,0.15667049005821942
11,1,1,50000,0.12933024058412637
11,1,1,100000,0.12094565220189886
8,1,2,100,19.16154298834643
8,1,2,200,5.407249658712297
8,1,2,500,1.5655774053978915
8,1,2,1000,0.8810437749897421
8,1,2,2000,0.6169034762324744
8,1,2,5000,0.4952974636132046
8,1,2,10000,0.4569391163277064
8,1,2,20000,0.43610209861419297
8,1,2,50000,0.42429747150359953
8,1,2,100000,0.4213917378621424
8,1,4,100,9.909560325242216
8,1,4,200,2.69028353817106
8,1,4,500,0.8095500925531871
8,1,4,1000,0.457499360223654
8,1,4,2000,0.32339805414044087
8,1,4,5000,0.25340874187225243
8,1,4,10000,0.23336060234535488
8,1,4,20000,0.22561350421300913
8,1,4,50000,0.21957900485636284
8,1,4,100000,0.21789172170794618
8,1,6,100,6.578617990428135
8,1,6,200,1.778255838218852
8,1,6,500,0.5307710112637399
8,1,6,1000,0.30618638096570333
8,1,6,2000,0.21421511761860648
8,1,6,5000,0.16773619798657155
8,1,6,10000,0.1526744534239336
8,1,6,20000,0.14656129608474244
8,1,6,50000,0.14310077673644728
8,1,6,100000,0.14163759492846317
8,1,8,100,4.795376661440242
8,1,8,200,1.3377792348589572
8,1,8,500,0.3908175201972779
8,1,8,1000,0.2292150905546726
8,1,8,2000,0.162529835727475
8,1,8,5000,0.12921766728800585
8,1,8,10000,0.11887467765395804
8,1,8,20000,0.11361497852070443
8,1,8,50000,0.1102657639406467
8,1,8,100000,0.10935002245678459
8,1,10,100,4.048326441512173
8,1,10,200,1.083753334091941
8,1,10,500,0.3213353829891697
8,1,10,1000,0.180611291652036
8,1,10,2000,0.12803015016204256
8,1,10,5000,0.10258976351795118
8,1,10,10000,0.09426401475308746
8,1,10,20000,0.0898416352620541
8,1,10,50000,0.08743881406784544
8,1,10,100000,0.08661245278593008
10,1,2,100,136.59493754077033
10,1,2,200,24.393444442020428
10,1,2,500,3.214529378584833
10,1,2,1000,0.9756186573618425
10,1,2,2000,0.41905803378070133
10,1,2,5000,0.20681668099338285
10,1,2,10000,0.1545688731068587
10,1,2,20000,0.13174477187438446
10,1,2,50000,0.11985706508842336
10,1,2,100000,0.11607220227607641
10,1,4,100,71.68819968891178
10,1,4,200,12.283412728768612
10,1,4,500,1.608609407541431
10,1,4,1000,0.49593526947758576
10,1,4,2000,0.20985761863048483
10,1,4,5000,0.10201868451786116
10,1,4,10000,0.07637749787758422
10,1,4,20000,0.06476525372306857
10,1,4,50000,0.05888791420701274
10,1,4,100000,0.05702497410319113
10,1,6,100,46.36063491578345
10,1,6,200,7.972078031208305
10,1,6,500,1.069042212195679
10,1,6,1000,0.3291799540196261
10,1,6,2000,0.13609470346086774
10,1,6,5000,0.06647741565296326
10,1,6,10000,0.04969990764051484
10,1,6,20000,0.04297374625664363
10,1,6,50000,0.0387878660555056
10,1,6,100000,0.03726942716760831
10,1,8,100,35.35671398862353
10,1,8,200,5.844540618350674
10,1,8,500,0.796450718014589
10,1,8,1000,0.24235079396273373
10,1,8,2000,0.10364470824021364
10,1,8,5000,0.05090261712994955
10,1,8,10000,0.03822877122181805
10,1,8,20000,0.03287809121217644
10,1,8,50000,0.029790484745024458
10,1,8,100000,0.02870161783989532
10,1,10,100,27.67721449245786
10,1,10,200,4.766597330183751
10,1,10,500,0.6300218547258061
10,1,10,1000,0.1982889950876066
10,1,10,2000,0.08403306796109299
10,1,10,5000,0.04108581033376511
10,1,10,10000,0.03052400267288478
10,1,10,20000,0.026086018434844004
10,1,10,50000,0.023872799918073364
10,1,10,100000,0.023123399649167976
